link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Максимальный объем памяти,Тип памяти,Поддержка частот памяти,Количество каналов памяти,Пропускная способность памяти,Поддержка памяти ECC,Версия PCI Express,Количество каналов PCI Express,Конфигурация PCI Express,Встроенное графическое ядро,Вес упаковки (ед),Гарантия,Модель графического ядра,Частота графического ядра,Габариты упаковки (ед) ДхШхВ,Максимальный объем видеопамяти,Поддержка WiDi,Особенности
https://www.citilink.ru/product/processor-intel-s-core-i5-12600-soc-1700-cm8071504647406s-rl5t-3-3ghz-1923280/,Код товара: 1923280,,"Процессор Intel Core i5 12600, LGA 1700, OEM [cm8071504647406s rl5t]",27 290₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",есть,0.036 кг,12 мес.,Intel UHD Graphics 770,300 МГц и 1450 МГц Turbo,,,,
https://www.citilink.ru/product/processor-amd-sempron-2650-socketam1-box-sd2650jahmbox-913437/,Код товара: 913437,,"Процессор AMD Sempron 2650, SocketAM1, BOX [sd2650jahmbox]",2 090₽,AMD,,DDR3,1333 МГц,1,,,,,,есть,0.2 кг,12 мес.,AMD Radeon HD 8240,400 МГц,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-5650g-am4-100-000000255-3-9ghz-amd-radeon-oem-1856329/,Код товара: 1856329,,"Процессор AMD Ryzen 5 PRO 5650G, SocketAM4, OEM [100-000000255]",17 890₽,AMD,,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,16,,есть,,12 мес.,AMD Radeon,1900 МГц,,,,
https://www.citilink.ru/product/processor-intel-s-core-i7-11700k-soc-1200-3-6ghz-box-w-o-cooler-1844498/,Код товара: 1844498,,"Процессор Intel Core i7 11700K, LGA 1200, BOX (без кулера)",32 990₽,INTEL,128 ГБ,DDR4,3200 МГц,2,50 GB/s,не поддерживается,PCI Express 4.0,20,"1x16+1x4, 2x8+1x4, 1x8+3x4",есть,0.3 кг,12 мес.,Intel UHD Graphics 750,350 МГц и 1300 МГц Turbo,0.1x0.04x0.11 м,64 ГБ,,
https://www.citilink.ru/product/processor-amd-s-a6-9500e-am4-ad9500ahm23ab-3ghz-100mhz-r5-oem-1824658/,5,1,"Процессор AMD A6 9500E, SocketAM4, OEM [ad9500ahm23ab]",990₽,AMD,,DDR4,2400 МГц,2,38.4 GB/s,не поддерживается,PCI Express 3.0,,,есть,0.058 кг,12 мес.,AMD Radeon R5,800 МГц,,,,
https://www.citilink.ru/product/processor-intel-s-core-i7-10700kf-soc-1200-3-8ghz-oem-1801356/,Код товара: 1801356,,"Процессор Intel Core i7 10700KF, LGA 1200, OEM",23 090,INTEL,128 ГБ,DDR4,2933 МГц,2,45.8 GB/s,не поддерживается,PCI Express 3.0,16,"1x16, 2x8, 1x8+2x4",отсутствует,,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i5-10600k-soc-1200-4-1ghz-iuhdg630-oem-1791237/,5,1,"Процессор Intel Core i5 10600K, LGA 1200, OEM",17 890₽,INTEL,128 ГБ,DDR4,2666 МГц,2,41.6 GB/s,не поддерживается,PCI Express 3.0,16,"1x16, 2x8, 1x8+2x4",есть,0.035 кг,12 мес.,Intel UHD Graphics 630,350 МГц и 1200 МГц Turbo,,64 ГБ,,
https://www.citilink.ru/product/processor-intel-s-core-i9-12900k-soc-1700-3-2ghz-iuhdg770-oem-1779474/,5,1,"Процессор Intel Core i9 12900K, LGA 1700, OEM",46 190₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",есть,0.037 кг,12 мес.,Intel UHD Graphics 770,300 МГц и 1550 МГц Turbo,,,,
https://www.citilink.ru/product/processor-intel-s-h-core-i9-11900k-soc-1200-cm8070804400161s-rknd-3-5g-1725697/,5,1,"Процессор Intel Core i9 11900K, LGA 1200, OEM",Нет в наличии,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i3-13100-soc-1700-3-4ghz-iuhdg730-oem-1901391/,Код товара: 1901391,,"Процессор Intel Core i3 13100, LGA 1700, OEM",Нет в наличии,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/processor-amd-ryzen-5-4500-am4-100-100000644box-3-6ghz-box-1795739/,Код товара: 1795739,,"Процессор AMD Ryzen 5 4500, SocketAM4, BOX [100-100000644box]",Нет в наличии,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-4500-am4-100-000000644-3-6ghz-oem-1930664/,5,1,"Процессор AMD Ryzen 5 4500, SocketAM4, OEM [100-000000644]",Нет в наличии,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,20,,отсутствует,0.108 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i9-13900-soc-1700-2-0ghz-iuhdg770-oem-1904085/,5,1,"Процессор Intel Core i9 13900, LGA 1700, OEM",Нет в наличии,INTEL,128 ГБ,DDR5/ DDR4,DDR5 5600 МГц DDR4 3200 МГц,2,89.6 GB/s,поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",есть,0.041 кг,12 мес.,Intel UHD Graphics 770,300 МГц и 1650 МГц Turbo,0.042x0.042x0.004 м,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-3-3200g-am4-yd3200c5fhbox-3-6ghz-box-1859105/,Код товара: 1859105,,"Процессор AMD Ryzen 3 3200G, SocketAM4, BOX [yd3200c5fhbox]",Нет в наличии,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i9-12900f-soc-1700-2-4ghz-box-1844495/,Код товара: 1844495,,"Процессор Intel Core i9 12900F, LGA 1700, BOX",Нет в наличии,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/processor-amd-s-athlon-3000g-am4-yd3000c6m2ofh-3-5ghz-100mhz-vega-3-oe-1804915/,5,1,"Процессор AMD Athlon 3000G, SocketAM4, OEM [yd3000c6m2ofh]",Нет в наличии,AMD,,DDR4,2667 МГц,2,,не поддерживается,PCI Express 3.0,,,есть,0.075 кг,12 мес.,Radeon Vega 3,1100 МГц,,,,Поддерживают только твердотельные накопители SSD M.2 SATA. M.2 PCI-E не совместимы с этими процессорами из-за отсутствия дополнительных линий PCI-E для SSD.
