Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук игровой asus vivobook a571gt-bq938,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,4.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,2.14,72990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi gf63 thin 11uc-217ru,0.0,0.0,29,2,1,13,12.0,4.7,1.0,6.0,39,6.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,144.0,9,8.0,1.86,75990.0,1.0,6.0,0.0,2.0
ноутбук digma pro fortis m,0.0,0.0,0,5,0,0,0.0,4.8,0.0,0.0,0,9.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,50400.0,0.0,0.0,0.0,0.0
ноутбук игровой msi pulse gl76 12uck-278xru,0.0,0.0,29,2,1,18,12.0,5.0,1.0,14.0,77,20.0,1.0,0,0.0,0.0,20.0,2,0,0.0,3.0,144.0,4,8.0,2.66,97990.0,1.0,6.0,0.0,2.0
ноутбук игровой msi stealth gs77 12ugs-251ru,0.0,1.0,35,2,1,18,24.0,5.0,0.0,14.0,98,1.0,1.0,0,0.0,0.0,20.0,2,0,0.0,4.0,240.0,9,32.0,2.8,259990.0,1.0,6.0,0.0,2.0
ноутбук игровой msi stealth gs66 12ugs-212ru,0.0,0.0,0,5,0,0,0.0,4.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,2.1,184990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi pulse gl76 12uck-051ru,0.0,0.0,0,5,1,0,12.0,4.5,1.0,0.0,0,9.0,1.0,0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,9,0.0,2.66,109990.0,1.0,6.0,0.0,0.0
ноутбук игровой msi pulse gl76 12udk-280ru,0.0,0.0,0,5,1,0,12.0,5.0,1.0,14.0,77,13.0,1.0,0,0.0,0.0,20.0,0,0,0.0,3.0,0.0,9,0.0,2.66,119990.0,1.0,6.0,0.0,0.0
ноутбук tecno megabook t1,0.0,1.0,0,5,1,0,12.0,5.0,0.0,0.0,0,5.0,1.0,0,6060.0,0.0,0.0,0,0,0.0,3.0,0.0,9,0.0,1.56,41990.0,0.0,0.0,0.0,0.0
ноутбук iru калибр 15glg,0.0,0.0,0,5,0,0,0.0,4.7,0.0,0.0,0,4.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,27500.0,0.0,0.0,0.0,0.0
