Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 gtx 1650 tuf-gtx1650-o4gd6-p-v2-gaming 4гб gddr6,19900.0,0.0,36.0,0.0,205.0,3.0,1.0,300.0
 rtx 4060ti gv-n406taero oc-8gd 8гб aero,48180.0,0.0,36.0,0.0,281.0,4.0,1.0,500.0
 rtx 4070 gv-n4070wf3-12gd 12гб windforce,67670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 rtx 4060ti gv-n406teagle oc-8gd 8гб eagle,47770.0,0.0,36.0,0.0,272.0,4.0,1.0,500.0
 rtx 3070 pa-rtx3070 jetstream 8g v1 lhr 8гб gddr6,63900.0,0.0,36.0,0.0,304.0,4.0,0.0,650.0
 rtx 4070ti gv-n407taorus e-12gd 12гб gddr6x,99500.0,0.0,36.0,0.0,342.0,4.0,0.0,750.0
 rtx 4070 rtx 4070 gaming x trio 12g 12гб gddr6x,78550.0,0.0,36.0,0.0,338.0,4.0,0.0,650.0
 rx 560 dual-rx560-4g 4гб gddr5,15710.0,0.0,36.0,0.0,242.0,0.0,0.0,450.0
 gtx 1650 dual-gtx1650-4g 4гб gddr5,19900.0,0.0,36.0,0.0,204.0,3.0,0.0,300.0
‌,19900.0,0.0,24.0,0.0,228.0,4.0,1.0,650.0
 rtx 4070ti rtx 4070 ti gaming trio 12g 12гб gddr6x,96360.0,0.0,36.0,0.0,337.0,4.0,0.0,700.0
 rtx 4070 dual-rtx4070-o12g 12гб gddr6x,72270.0,0.0,36.0,0.0,267.01,4.0,1.0,650.0
 amd radeon rx 6650xt rx 6650 xt gaming x 8g 8гб gddr6,41900.0,0.0,36.0,0.0,278.0,4.0,0.0,500.0
 rtx 4070 dual-rtx4070-o12g-white 12гб dual,72270.0,0.0,36.0,0.0,267.01,4.0,1.0,650.0
 rtx 4080 gv-n4080aorusx w-16gd 16гб aorus xtreme waterforce,140350.0,0.0,36.0,0.0,236.0,4.0,0.0,850.0
 rtx 3060 gv-n3060wf2oc-12gd 2.0 12гб windforce,36450.0,0.0,36.0,0.0,198.0,4.0,1.0,550.0
 rtx 4060ti gv-n406teagle-8gd 8гб eagle,46720.0,0.0,36.0,0.0,272.0,4.0,0.0,500.0
 rx 6400 axrx 6400 lp 4gbd6-dh 4гб gddr6,17800.0,0.0,24.0,0.0,155.0,0.0,0.0,350.0
 gt 710 gt710-sl-2gd3-brk-evo 2гб ddr3,6290.0,0.0,36.0,0.0,170.0,3.0,0.0,300.0
 rx 6400 axrx 6400 4gbd6-dh 4гб gddr6,17390.0,0.0,24.0,0.0,165.0,2.0,0.0,350.0
 rtx 4060ti gv-n406tgaming oc-8gd 8гб gaming,49860.0,0.0,36.0,0.0,281.0,4.0,1.0,500.0
 rx 6800 axrx 6800 16gbd6-3dh/oc 16гб gddr6,72270.0,0.0,12.0,0.0,300.0,4.0,1.0,650.0
 rtx 4070 rtx 4070 ventus 3x 12g oc 12гб gddr6x,74360.0,0.0,36.0,0.0,308.0,4.0,1.0,650.0
 amd radeon rx 7900xtx rx 7900 xtx gaming trio classic 24гб gddr6,74360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 gtx 1050ti cerberus-gtx1050ti-o4g 4гб gddr5,19480.0,0.0,36.0,0.0,203.0,3.0,1.0,300.0
 rx 7900xt rx7900xt 20g-e/oc 20гб gddr6,104740.0,0.0,12.0,0.0,338.0,4.0,1.0,850.0
‌,104740.0,0.0,36.0,0.0,281.0,0.0,1.0,650.0
 rtx 4070 gv-n4070wf3oc-12gd 12гб windforce,68080.0,0.0,36.0,0.0,261.0,4.0,1.0,650.0
 550 ph-550-2g 2гб gddr5,10160.0,0.0,36.0,0.0,192.0,0.0,0.0,350.0
видеокарта gigabyte amd radeon rx 7900xt gv-r79xtgaming oc-20gd 20гб gddr6,98450.0,0.0,36.0,0.0,331.0,4.0,1.0,800.0
 rtx 4070 rtx4070 gamingpro 12гб gddr6x,71220.0,0.0,36.0,0.0,328.9,4.0,0.0,750.0
 gtx 1650 gv-n1656d6-4gd 2.0 4гб d6,18430.0,0.0,36.0,0.0,172.0,3.0,0.0,300.0
 rtx 4070ti tuf-rtx4070ti-12g-gaming 12гб gddr6x,104740.0,0.0,36.0,0.0,305.0,4.0,0.0,750.0
видеокарта pny nvidia rtx a4500 rtx a4500 20гб gddr6,247600.0,0.0,12.0,0.0,266.7,0.0,0.0,0.0
 rtx 4070ti tuf-rtx4070ti-o12g-gaming 12гб gddr6x,106840.0,0.0,36.0,0.0,305.0,4.0,1.0,750.0
 rx 6750xt dual-rx6750xt-o12g 12гб gddr6,61270.0,0.0,36.0,0.0,295.0,0.0,1.0,750.0
 rx 6700xt axrx 6700xt 12gbd6-3dhe/oc 12гб gddr6,56640.0,0.0,24.0,0.0,320.0,4.0,1.0,700.0
 rx 6650xt axrx 6650xt 8gbd6-3dhlv3/oc 8гб hellhound sakura,46720.0,0.0,24.0,0.0,220.0,0.0,1.0,600.0
 rtx 4070ti rtx4070ti jetstream 12гб jetstream,90080.0,0.0,36.0,0.0,328.9,4.0,0.0,750.0
 rx 560 rog-strix-rx560-4g-v2-gaming 4гб gddr5,17180.0,0.0,36.0,0.0,242.0,0.0,0.0,450.0
