Название,Рейтинг,Количество отзывов,Цена,Страна,Гарантия,Тип,Операционная система,Язык клавиатуры,Диагональ экрана,Разрешение экрана,Соотношение сторон,Максимальная частота обновления,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип оптического привода,Встроенные динамики,Wi-Fi,Bluetooth,Web-камера,HDMI,USB 2.0,USB 3.2,USB 3.2 (Type-C),Разъем для наушников/микрофона,Тип аккумулятора,Емкость,Высота,Ширина,Глубина,Вес,Тип матрицы,Поверхность,Количество потоков,Кэш L3,Максимальный объем,Количество слотов,Частота памяти,Стандарт Wi-Fi,Версия Bluetooth,Картридер,Микрофон,USB 3.0,USB 3.0 (Type-C),USB 3.1 (Type-C),Максимальное время работы,Материал корпуса,Подсветка клавиш,Блок питания,Цвет,Кэш L2,Тип звуковой системы,Количество ячеек,Объем видеопамяти,Ethernet,Mini DisplayPort,USB,USB 3.1,RJ-45,Язык операционной системы,Яркость,Количество ядер графического процессора,Количество динамиков,VGA (D-Sub),DVI,DisplayPort,Thunderbolt 3,Разъем для наушников,Мощность блока питания,Тип вилки,Сканер отпечатков пальцев,Контрастность,Micro USB 2.0,Игровой ноутбук,Дополнительная информация,Mini HDMI,Кабель для зарядки,Угол обзора по вертикали,Угол обзора по горизонтали,Производитель чипсета,Модель чипсета,Интерфейс подключения,Тип видеопамяти,LED-подсветка,Разъем для микрофона,Thunderbolt/USB 4,Мощность динамиков,Объем первого накопителя,Объем второго накопителя,Сенсорный,Частота шины,Разъем Kensington Lock,Сенсорная панель Touch Bar,Чехол,Объем памяти Intel Optane,Платформа Intel Evo,Датчик освещенности,Время отклика,Micro HDMI,USB 2.0 (Type-C),Скорость вращения шпинделя,4G (LTE),
"Ноутбук Apple MacBook Pro 14"" M1 Pro 10C 2021 (MKGP3)",0.0,0.0,210 690 р.,Китай,1 год,Ноутбук ,MacOS Monterey ,,"14.2"" ",3024x1964 Пикс ,,60 Гц,Apple ,Apple M1 Pro,3.22 ГГц,,10 ,16 ГБ ,,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M1 Pro,Отсутствует ,Есть,Есть ,Есть ,Есть,Есть ,,,,,Li-Pol,70 Вт*ч,1.55 см ,31.26 см,22.12 см,1.61 кг ,IPS ,,,,,,,IEEE 802.11aх,5.0,SDXC,Есть,,,,17 ч ,Алюминий ,,Есть,Серый ,,,,,,,,,,,1000 кд/м²,,6,,,,,Есть,96 Вт,,Есть ,,,,,,Есть,,,,,,,,,3,,,,,,,,,,,,,,,,,
"Ноутбук Apple MacBook Pro 14"" M1 Pro 10C 2021 (MKGP3)",0.0,0.0,210 690 р.,Китай,1 год,Ноутбук ,MacOS Monterey ,,"14.2"" ",3024x1964 Пикс ,,60 Гц,Apple ,Apple M1 Pro,3.22 ГГц,,10 ,16 ГБ ,,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M1 Pro,Отсутствует ,Есть,Есть ,Есть ,Есть,Есть ,,,,,Li-Pol,70 Вт*ч,1.55 см ,31.26 см,22.12 см,1.61 кг ,IPS ,,,,,,,IEEE 802.11aх,5.0,SDXC,Есть,,,,17 ч ,Алюминий ,,Есть,Серый ,,,,,,,,,,,1000 кд/м²,,6,,,,,Есть,96 Вт,,Есть ,,,,,,Есть,,,,,,,,,3,,,,,,,,,,,,,,,,,
Ноутбук ECHIPS ENVY14G-RH-240,0.0,0.0,26 190 р.,Китай,1 год,Ноутбук ,Windows 10 Профессиональная ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Celeron J4125,2 ГГц,2.7 ГГц,4 ,8 ГБ ,LPDDR4,SSD ,240 ГБ ,Интегрированная ,Intel ,Intel UHD Graphics 600,Отсутствует ,,Есть ,Есть ,0.3 Мпикс,,,,,Есть,,4500 мА*ч,2 см ,,25.5 см,1.9 кг ,IPS ,Матовая ,4,,,,2133 МГц,"IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",4.2,microSD,,2 ,,,,Пластик ,,,Серебристый ,4 МБ,,,,,,,,,Русский,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ноутбук Chuwi Corebook 14'' Intel i5-1035G4, 8+512GB (141454)",0.0,0.0,34 990 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","14"" ",2160x1440 Пикс ,,60 Гц,Intel ,Core i5-1035G4,1.1 ГГц,3.6 ГГц,4 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,,,,,Есть,,4000 мА*ч,2.06 см ,31 см,22.95 см,1.5 кг ,IPS ,Матовая ,8,6 МБ,,,2400 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,1 ,1 ,,,Алюминий ,Есть ,,Серый ,,,,,,,,,,Русский,,,,,,,,,,,,,,,,,,,,,,,,,Есть,1,,,,,,,,,,,,,,,,,
Ноутбук Chuwi Corebook XPro i5-10210U 16/512GB,0.0,0.0,45 590 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-10210U,1.6 ГГц,4.2 ГГц,4 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,1 ,,,Есть,,6060 мА*ч,2.06 см ,31 см,22.9 см,1.78 кг ,IPS ,,8,6 МБ,,,2666 МГц,IEEE 802.11aх,5.1,SD,,2 ,,,6 ч ,Металл ,Есть ,,Серый ,,,,,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
Ноутбук Chuwi CoreBook X 14 i3-10110U 8/512GB,0.0,0.0,34 390 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","14"" ",2160x1440 Пикс ,,60 Гц,Intel ,Core i3-10110U,2.1 ГГц,4.1 ГГц,2 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,,,,,Есть,,4000 мА*ч,2.06 см ,31 см,22.9 см,1.5 кг ,IPS ,,4,4 МБ,,,2400 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.2,microSD,,1 ,1 ,,8 ч ,Металл ,Есть ,,Серый ,,,,,10/100/1000 Мбит/с,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
Ноутбук GIGABYTE G5 MF (MF-E2KZ333SD),5.0,2.0,89 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12500H,2.5 ГГц,4.5 ГГц,12 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4050,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,1,2,Есть,Li-Ion,54 Вт*ч,,,,,IPS ,Матовая ,16,18 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,microSD,Есть,,,,,"Металл, Пластик ",Есть ,,,,DTS:X Ultra Audio,,6 ГБ,10/100/1000 Мбит/с,1,4 ,,Есть,,,,2,,,,,,150 Вт,,,,,Есть ,,,,,,,,,,,Есть,,4 Вт,,,,,Есть,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 X Wild Hunter G3 XD (JT009P00BRU),5.0,7.0,99 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,165 Гц,Intel ,Core i5-13500H,2.6 ГГц,4.7 ГГц,12 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4050,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,,3,1,Есть,,,2.405 см ,35.89 см,25.76 см,2.3 кг ,IPS ,Матовая ,16,18 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,,,4.5 ч ,Пластик ,Есть ,,Серый ,,,,6 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,,,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 Plus G3 Pro (JT009R00BRU),5.0,11.0,129 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","17.3"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-13500H,2.6 ГГц,4.7 ГГц,12 ,16 ГБ ,DDR5,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,1 ,1,1,Есть,,,2.59 см ,39.7 см,26.3 см,2.5 кг ,AHVA ,Матовая ,16,18 МБ,64 ГБ,2,4800 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,,,4.5 ч ,Пластик ,Есть ,,Серый ,,,,8 ГБ,10/100/1000 Мбит/с,1,,,Есть,,,,,,,,,,,,,,,Есть ,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
Игровой ноутбук MSI Prestige 15 (A12UC-224RU),5.0,6.0,109 999 р.,Китай,2 года,Ноутбук ,Windows 11 Профессиональная ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-1240P,1.7 ГГц,4.4 ГГц,12 ,16 ГБ ,DDR5,SSD ,512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,,,2,2,Есть,Li-Pol,82 Вт*ч,1.89 см ,35.68 см,23.37 см,1.69 кг ,IPS ,Матовая ,16,12 МБ,,,4266 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.1,microSD,Есть,,,,5 ч ,Алюминий ,Есть ,,Серебристый ,,Nahimic sound,4,4 ГБ,,,,,Есть,,,,,,,,,,100 Вт,,,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук MSI GF63 11UC-216RU,0.0,0.0,79 999 р.,Китай,1 год,Ноутбук ,Windows 10 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i7-11800H,2.3 ГГц,4.6 ГГц,8 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,3,1,,Li-Pol,51 Вт*ч,2.17 см ,35.9 см,25.4 см,,IPS ,Матовая ,16,24 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,,,5 ч ,"Пластик, Алюминий ",Есть ,,,,Nahimic sound,3,4 ГБ,10/100 Мбит/с,,,,Есть,,,,,,,,,Есть,120 Вт,,,,,Есть ,,,,,,,,PCI-E,GDDR6,,Есть,,,,,,,,,,,,,,,,,,
Ноутбук Lenovo IP3/15-1135G7/ 1T/8G/UX350 2G/A/GY,5.0,7.0,39 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский, Арабский","15.6"" ",1920x1080 Пикс ,,,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4 ,8 ГБ ,DDR4,HDD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce MX350,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,2,,Есть,,,1.99 см ,35.92 см,23.65 см,1.65 кг ,TN ,Матовая ,,,12 ГБ,1,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"SD, SDHC",Есть,,,,8 ч ,Пластик ,,Есть,Серый ,8 МБ,Dolby Audio,,2 ГБ,,,,,,Английский,,,,,,,,,,Американская (Тип A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Rombica myBook Mercury 256 (PCLT-0003),5.0,11.0,25 999 р.,Китай,1 год,Ноутбук ,Без ОС ,,"15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Pentium N5030,1.1 ГГц,3.1 ГГц,4 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics 605,Отсутствует ,,Есть ,Есть ,2.0 Мпикс,,1 ,,,Есть,,5000 мА*ч,2.3 см ,37 см,24 см,1.7 кг ,IPS ,Матовая ,4,,,,2133 МГц,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",4.2,"microSDHC, microSDXC, microSD",Есть,1 ,,,5 ч ,Пластик ,,,Серый ,4 МБ,,,,,,2 ,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук LYAMBDA LLT173M01CJMR_BK,5.0,8.0,139 999 р.,Китай,1 год,Ноутбук ,Без ОС ,,"17.3"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i7-12700H,2.3 ГГц,4.7 ГГц,14 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3070Ti,Отсутствует ,Есть,Есть ,Есть ,Есть,Есть ,,,1,Есть,,,2.49 см ,39.6 см,26.2 см,2.82 кг ,IPS ,Матовая ,20,24 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,2 ,1 ,,5 ч ,Металл ,Есть ,Есть,,,Sound Blaster Cinema,,8 ГБ,10/100/1000 Мбит/с,1,,,Есть,,,,,,,,,,,,,,,Есть ,,,,,,,,,GDDR6,,,1,,,,,,,,,,,,,,,,,
Ноутбук Acer Swift 3 SF314-43 (NX.AB1ER.00D),5.0,3.0,61 999 р.,Китай,1 год,Нетбук ,Windows 11 Домашняя x64 ,"Английский, Русский","14"" ",1920x1080 Пикс ,,60 Гц,AMD ,Ryzen 5 5500U,2.1 ГГц,,6 ,8 ГБ ,LPDDR4X,SSD ,512 ГБ ,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,,,Есть,Li-Ion,,1.6 см ,32.3 см,21.2 см,1.2 кг ,IPS ,Матовая ,,,,,4266 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,Есть,,,1 ,11 ч ,Алюминий ,Есть ,,Серебристый ,8 МБ,,,,,,3 ,2 ,Есть,Русский,,,2,,,,,,65 Вт,Европейская Schuko (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук ASUS M6500QH-HN038,5.0,8.0,67 999 р.,Китай,1 год,Ноутбук ,Без ОС ,,"15.6"" ",1920x1080 Пикс ,16:9,144 Гц,AMD ,Ryzen 5 5600H,3.3 ГГц,4.2 ГГц,6 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,1,Есть,Li-Ion,50 Вт*ч,1.99 см ,35.98 см,23.43 см,1.8 кг ,IPS ,Глянцевая ,12,16 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,microSD,Есть,,,,7 ч ,Пластик ,Есть ,,,3 МБ,,3,4 ГБ,,,4 ,,,,250 кд/м²,,,,,,,,,,,,,,,,,,,,,,GDDR6,Есть,,,,,,,,,,,,,,,,,,,
Ноутбук ASUS ROG Strix G18 G814JI-N6062,5.0,6.0,224 999 р.,Китай,1 год,Ноутбук ,Без ОС ,,"18"" ",2560x1600 Пикс ,16:10,240 Гц,Intel ,Core i9-13980HX,2.2 ГГц,5.6 ГГц,24 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 для ноутбуков,Отсутствует ,Есть,Есть ,Есть ,Есть,Есть ,,2,1,Есть,Li-Ion,90 Вт*ч,3.08 см ,39.9 см,29.4 см,3 кг ,,Матовая ,32,36 МБ,,2,4800 МГц,IEEE 802.11aх,5.2,,Есть,,,,,,Есть ,,Серый ,,,4,8 ГБ,,,,,Есть,,,,2,,,,,,280 Вт,,,,,,,,,,,,,,GDDR6,,,1,,,,,,,,,,,,3 мс,,,,,
Ноутбук Lenovo V15 G2 ALC (82KD00DDCD),5.0,7.0,39 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,,"15.6"" ",1920x1080 Пикс ,,,AMD ,Ryzen 3 5300U,2.6 ГГц,3.8 ГГц,4 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,,Есть ,Есть ,0.3 Мпикс,Есть ,1 ,,,Есть,,,1.9 см ,35.9 см,23.5 см,1.7 кг ,IPS ,Матовая ,8,4 МБ,16 ГБ,1,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.1,,,1 ,1 ,,8 ч ,Пластик ,,,Черный ,2 МБ,,,,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook 16S i7 13700H/16/1T Space Gray (CREFG-X),5.0,3.0,122 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя x64 ,,"16"" ",2520x1680 Пикс ,3:2,60 Гц,Intel ,Core i7-13700H,3.7 ГГц,5 ГГц,14 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,Есть,Есть ,Есть ,Есть,Есть ,,2,1,Есть,Li-Pol,84 Вт*ч,1.78 см ,35.1 см,25.49 см,1.99 кг ,IPS ,,20,24 МБ,,,,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,Есть,,,,,Металл ,Есть ,Есть,,,,,,,,4 ,,,,300 кд/м²,,2,,,,,,,,Есть ,1500:1,,,,,Есть,178 °,178 °,,,,,,,1,,,,Есть ,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook X Pro i7 1360P/16/1T White (MRGFG-X),5.0,2.0,159 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя x64 ,,"14.2"" ",3120x2080 Пикс ,,90 Гц,Intel ,Core i7-1360P,3.7 ГГц,5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,Есть,Есть ,,,2,Есть,,,1.56 см ,31 см,22.1 см,1.26 кг ,,,,18 МБ,,,,IEEE 802.11aх,5.2,,,,,,,Алюминий ,Есть ,,Белый ,,,,,,,,,,,,,,,,,,,,,Есть ,,,,,,,,,,,,,,,2,,,,Есть ,,,,,,,,,,,,,
Ноутбук Apple MacBook Pro 14 (MKGP3),0.0,0.0,210 690 р.,Китай,1 год,Ноутбук ,MacOS Monterey ,,"14.2"" ",3024x1964 Пикс ,,120 Гц,Apple ,Apple M1 Pro,3.22 ГГц,,8 ,16 ГБ ,,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M1 Pro,Отсутствует ,Есть,Есть ,Есть ,,Есть ,,,,,Li-Pol,70 Вт*ч,1.55 см ,31.26 см,22.12 см,1.61 кг ,,,,,,,,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.0,microSDXC,Есть,,,,17 ч ,Алюминий ,Есть ,Есть,Серый ,,Dolby Atmos,,,,,,,,,1600 кд/м²,14,6,,,,,Есть,67 Вт,,Есть ,1000000:1,,,,,Есть,,,,,,,,,3,,,,,,,,,,,Есть,,,,,,
Ноутбук Apple MacBook Air M1 2020 (MGN63),0.0,0.0,109 790 р.,Китай,1 год,Ноутбук ,MacOS ,,"13.3"" ",2560x1600 Пикс ,,60 Гц,Apple ,Apple M1,3.18 ГГц,,8 ,8 ГБ ,,SSD ,256 ГБ ,Интегрированная ,Apple ,Apple M1,Отсутствует ,,Есть ,Есть ,Есть,,,,,,Li-Pol,49.9 Вт*ч,1.61 см ,30.41 см,21.24 см,1.29 кг ,IPS ,,,,,,3200 МГц,IEEE 802.11aх,5.0,,Есть,,,,,Алюминий ,,Есть,Серый ,,,,,,,,,,,400 кд/м²,,,,,,,Есть,30 Вт,,Есть ,,,,,,Есть,,,,,,,,,2,,,,,,,,,,,,,,,,,
Ноутбук Apple MacBook Pro M2 2022 (MNEQ3),0.0,0.0,182 490 р.,Китай,1 год,Ноутбук ,MacOS ,,"13.3"" ",2560x1600 Пикс ,,60 Гц,Apple ,Apple M2,3.49 ГГц,,8 ,8 ГБ ,,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2,Отсутствует ,Есть,Есть ,Есть ,Есть,,,,,,Li-Pol,58.2 Вт*ч,1.56 см ,30.41 см,21.24 см,1.4 кг ,IPS ,,,,,,,IEEE 802.11aх,5.0,,Есть,,,,20 ч ,Алюминий ,,Есть,Серебристый ,,,,,,,,,,,500 кд/м²,,,,,,,Есть,67 Вт,,Есть ,,,,,,Есть,,,,,,,,,2,,,,,,,Есть,,,,,,,,,,
Ноутбук Chuwi Corebook Xpro (999922),0.0,0.0,46 490 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-10210U,1.6 ГГц,4.2 ГГц,4 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,,Есть ,,1 Мпикс,,1 ,2,1,Есть,,,1.79 см ,35.94 см,24.15 см,1.78 кг ,IPS ,,,6 МБ,64 ГБ,2,2666 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,SD,,,,,,Металл ,Есть ,,Серый ,,,,,10/100/1000 Мбит/с,,,,Есть,Русский,,,,,,,,Есть,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,1,,,,
Ноутбук Hasee T8-DA9NT,0.0,0.0,116 190 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","16"" ",2560x1600 Пикс ,,165 Гц,Intel ,Core i9-12900H,3.8 ГГц,5 ГГц,14 ,16 ГБ ,DDR4,SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,1,1,,,3410 мА*ч,2.61 см ,35.95 см,26.38 см,2.15 кг ,IPS ,Глянцевая ,20,24 МБ,,2,2500 МГц,IEEE 802.11aх,5.2,,Есть,,,,,Пластик ,Есть ,Есть,Черный ,,,,6 ГБ,10/100/1000 Мбит/с,1,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,GDDR6,,Есть,2,,,,,,,,,,,,,,,,,
Ноутбук Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK),5.0,8.0,29 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Pentium Silver N5030,1.1 ГГц,3.1 ГГц,4 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics 605,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,2,,Есть,,,1.99 см ,36.2 см,25.3 см,1.8 кг ,IPS ,Матовая ,4,4 МБ,,1,2400 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,,Есть,,,,,Пластик ,,Есть,Серебристый ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ноутбук Infinix Inbook X2 14""/i5-1155G7/8GB/512GB SSD/Home Grey",5.0,3.0,39 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","14"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-1155G7,2.5 ГГц,4.5 ГГц,4 ,8 ГБ ,LPDDR4X,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,,,,,Есть,,,1.48 см ,32.33 см,21.11 см,1.24 кг ,IPS ,Матовая ,8,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.1,,Есть,2 ,,,,Алюминий ,Есть ,,Серый ,,DTS Audio,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ноутбук Chuwi CoreBook X 14 i3-1215U 8+256GB,0.0,0.0,36 490 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","14"" ",2160x1440 Пикс ,3:2,60 Гц,Intel ,Core i3-1215U,1.2 ГГц,4.4 ГГц,6 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,,,1,1,Есть,,46.2 Вт*ч,2.06 см ,31 см,22.95 см,1.36 кг ,IPS ,Матовая ,8,10 МБ,,,2400 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,microSD,Есть,,,,,Металл ,Есть ,Есть,Серый ,,,,,10/100/1000 Мбит/с,,,,,Русский,,,2,,,,,,,,,,,,,,Есть,,,,,,,,,,3 Вт,,,,,,,,,,,,,,,,
Ноутбук Chuwi MiniBook X 10.51/N5100/12GB/512GB Iron Gray (000591),0.0,0.0,35 990 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","10.8"" ",1920x1200 Пикс ,,60 Гц,Intel ,Celeron N5100,1.1 ГГц,2.8 ГГц,4 ,12 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,,1 ,,,Есть,,3800 мА*ч,1.72 см ,24.4 см,16.64 см,0.918 кг ,IPS ,Матовая ,4,4 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,Есть,1 ,1 ,,,Металл ,Есть ,,Серый ,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
