Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Компьютер Robotcomp Аллигатор V2 Plus White,0.0,0.0,38 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v2-plus-white/,Россия,3 года,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V3 White,0.0,0.0,37 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v3-white/,Россия,3 года,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,A320M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор V3 Plus White,0.0,0.0,46 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-v3-plus-white/,Россия,3 года,,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,,400 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0,0.0,0.0,32 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus,0.0,0.0,38 390 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-plus/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V2,0.0,0.0,36 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-v2/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V2 Plus,0.0,0.0,42 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-v2-plus/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V3,0.0,0.0,41 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-v3/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V3 Plus,0.0,0.0,47 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-v3-plus/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0,0.0,0.0,44 390 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 Plus,0.0,0.0,55 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-plus/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V2,0.0,0.0,48 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-v2/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V2 Plus,0.0,0.0,59 390 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-v2-plus/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V3,0.0,0.0,53 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-v3/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V3 Plus,0.0,0.0,64 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-v3-plus/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 White,0.0,0.0,32 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-white/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus White,0.0,0.0,39 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-plus-white/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V2 White,0.0,0.0,36 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-v2-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus V2 White,0.0,0.0,42 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-plus-v2-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 V3 White,0.0,0.0,41 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-v3-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 2.0 Plus V3 White,0.0,0.0,47 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-2-0-plus-v3-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,500 Вт,44 см,19 см,40 см,9 кг,Черный,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,,,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 White,0.0,0.0,44 390 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-white/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 Plus White,0.0,0.0,55 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-plus-white/,Россия,3 года,,FreeDOS ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V2 White,0.0,0.0,48 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-v2-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 Plus V2 White,0.0,0.0,59 390 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-plus-v2-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,,,,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 V3 White,0.0,0.0,53 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-v3-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор 3.0 Plus V3 White,0.0,0.0,64 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-alligator-3-0-plus-v3-white/,Россия,3 года,,Windows 10 Профессиональная ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,64 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.48 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,,SMA,1000/100/10 Мбит/с,,Есть,1 шт.,,6 шт.,6 шт.,1 шт.,Есть,,Есть,600 Вт,44 см,19 см,40 см,9 кг,Белый,,,Нет ,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,Вертикальное,1 ТБ,480 ГБ,1,,,,,,,,,,,,,,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16,0.0,0.0,49 290 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,4 ,12 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,,,,,,,1,,,,,,,,,,,,,,,,Intel,H510M,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16 Plus,0.0,0.0,54 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16-plus/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,4 ,12 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H510M,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16 V2,0.0,0.0,53 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16-v2/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,4 ,12 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H510M,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16 V2 Plus,0.0,0.0,58 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16-v2-plus/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,4 ,12 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H510M,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16 V3,0.0,0.0,58 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16-v3/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,4 ,12 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,Есть ,IEEE 802.11n,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H510M,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16 2.0,0.0,0.0,69 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16-2-0/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
Игровой компьютер Robotcomp M-16 2.0 Plus,0.0,0.0,75 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-m-16-2-0-plus/,Россия,3 года,Есть ,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,,Есть,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,Нет ,,,,,Вертикальное,,,1,,,,,,,,,,,,,,,,Intel,H610M,,,,,,,,,,,,
