Цена,Акустическая схема,Таймер включения/выключения,Разъем для наушников,Встроенный сабвуфер,Прогрессивная развертка,Вес без подставки,Время отклика пикселя,Гарантия,Разрешение,Поддержка NFC,Управление со смартфона,Встроенный Wi-Fi,Встроенный Bluetooth,Поддержка HDR,Контрастность,Размер VESA,Телетекст,Яркость экрана,Мощность сабвуфера,Частота обновления,Родительский контроль,Диагональ,Страна производитель,Операционная система,Название,Соотношение сторон,Объем встроенной памяти,Объем оперативной памяти,Рейтинг,Количество отзывов,Тип панели,Цвет,Цифровое шумоподавление
89990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"65"" samsung ue65bu8000uxce",0,0.0,0.0,4.5,6.0,6,0,0.0
14490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"40"" bbk 40lex-7202/fts2c",0,0.0,0.0,5.0,9.0,6,0,0.0
12490.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"40"" bbk 40lem-1002/fts2c",0,0.0,0.0,0.0,12.0,6,0,0.0
9490.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,12,0.0,0.0,0,0.0,0.0,0.0,0,8,"24"" bbk 24lex-7290/ts2c",0,0.0,0.0,4.7,8.0,6,0,0.0
24390.0,4,0.0,1.0,0.0,1.0,0.0,0.0,12.0,0,0.0,1.0,1.0,0.0,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,8,"55"" yuno ulx-55utcs3234",0,0.0,0.0,4.0,7.0,6,0,0.0
8190.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"31.5"" telefunken tf-led32s02t2\h",0,0.0,0.0,0.0,10.0,6,0,0.0
32990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"50"" kivi 50u750nb",0,0.0,0.0,4.5,13.0,6,0,0.0
86990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"65"" grundig 65ggu7900b",0,0.0,0.0,0.0,4.0,6,0,0.0
17990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"32"" kivi 32f750nb",0,0.0,0.0,5.0,9.0,6,0,0.0
25990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,0,"55"" bbk 55lex-8387/uts2c",0,0.0,0.0,0.0,22.0,6,0,0.0
54990.0,0,0.0,0.0,0.0,0.0,16.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0,0.0,0.0,0.0,0,0,"65"" haier smart tv s3",0,0.0,0.0,5.0,5.0,6,0,0.0
22990.0,4,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,1.0,1.0,0.0,0,8,0.0,0.0,0,0.0,0.0,0.0,0,1,"43"" kivi 43f750nb",0,8.0,0.0,4.5,16.0,6,0,0.0
84990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"65"" grundig 65ggu8960",0,0.0,0.0,5.0,8.0,6,0,0.0
86990.0,4,0.0,0.0,0.0,0.0,14.7,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0,0,"55"" samsung ue55bu8500uxce",0,0.0,0.0,5.0,14.0,6,0,0.0
69990.0,4,0.0,0.0,0.0,0.0,14.7,0.0,12.0,0,0.0,0.0,1.0,1.0,1.0,0,3,1.0,0.0,0,0.0,0.0,0.0,0,0,"55"" samsung ue55bu8000uxce",0,0.0,0.0,4.0,20.0,6,0,0.0
153590.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"65"" samsung qe65q70bauxce",0,0.0,0.0,0.0,7.0,6,0,0.0
47990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"55"" lg 55up81006la.adgg",0,0.0,0.0,0.0,15.0,6,0,0.0
17950.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"42"" telefunken tf-led42s14t2s(черный)\y\h",0,0.0,0.0,0.0,4.0,6,0,0.0
209990.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,14,0.0,0.0,0,0.0,0.0,0.0,0,0,"85"" samsung qe85q60bauxce",0,0.0,0.0,0.0,20.0,6,0,0.0
