Процессор,Гарантия,Объем SSD,Мышь,Цена,Количество ядер,Количество отзывов,Название,Операционная система,Клавиатура,Рейтинг,Блок питания,Разъем для наушников,Графика,Объем оперативной памяти,Разъем для микрофона
57,36.0,960.0,0.0,89190,6.0,0.0,игровой компьютер robotcomp m-16 3.0 v2 plus,8,0.0,0.0,600.0,0.0,24,32.0,0.0
57,36.0,960.0,0.0,88790,6.0,0.0,игровой компьютер robotcomp m-16 3.0 v3,8,0.0,0.0,600.0,0.0,24,16.0,0.0
57,36.0,960.0,0.0,94490,6.0,0.0,игровой компьютер robotcomp m-16 3.0 v3 plus,8,0.0,0.0,600.0,0.0,24,32.0,0.0
57,36.0,512.0,0.0,83590,6.0,0.0,игровой компьютер robotcomp триумф v2,8,0.0,0.0,696.0,0.0,66,16.0,0.0
57,36.0,512.0,0.0,88890,6.0,0.0,игровой компьютер robotcomp триумф v3,8,0.0,0.0,696.0,0.0,66,16.0,0.0
57,36.0,512.0,0.0,83590,6.0,0.0,игровой компьютер robotcomp триумф v2 white,8,0.0,0.0,700.0,0.0,25,16.0,0.0
57,36.0,512.0,0.0,88890,6.0,0.0,игровой компьютер robotcomp триумф v3 white,8,0.0,0.0,700.0,0.0,25,16.0,0.0
12,36.0,512.0,0.0,71990,6.0,0.0,игровой компьютер robotcomp пантера,4,0.0,0.0,700.0,1.0,24,16.0,0.0
12,36.0,512.0,0.0,77690,6.0,0.0,игровой компьютер robotcomp пантера plus,4,0.0,0.0,700.0,1.0,24,32.0,0.0
12,36.0,512.0,0.0,75790,6.0,0.0,игровой компьютер robotcomp пантера v2,8,0.0,0.0,700.0,1.0,24,16.0,0.0
12,36.0,512.0,0.0,81490,6.0,0.0,игровой компьютер robotcomp пантера v2 plus,8,0.0,0.0,700.0,1.0,24,32.0,0.0
12,36.0,512.0,0.0,81190,6.0,0.0,игровой компьютер robotcomp пантера v3,8,0.0,0.0,696.0,1.0,65,16.0,0.0
12,36.0,512.0,0.0,86790,6.0,0.0,игровой компьютер robotcomp пантера v3 plus,8,0.0,0.0,696.0,1.0,65,32.0,0.0
12,36.0,512.0,0.0,71990,6.0,0.0,игровой компьютер robotcomp черная пантера,4,0.0,0.0,696.0,0.0,65,16.0,0.0
12,36.0,512.0,0.0,77690,6.0,0.0,игровой компьютер robotcomp черная пантера plus,4,0.0,0.0,696.0,0.0,65,16.0,0.0
12,36.0,512.0,0.0,75790,6.0,0.0,игровой компьютер robotcomp черная пантера v2,8,0.0,0.0,696.0,0.0,65,16.0,0.0
12,36.0,512.0,0.0,81490,6.0,0.0,игровой компьютер robotcomp черная пантера v2 plus,8,0.0,0.0,696.0,0.0,65,32.0,0.0
10,36.0,480.0,0.0,30890,6.0,0.0,компьютер robotcomp аллигатор v1 pink,4,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,34290,6.0,0.0,компьютер robotcomp аллигатор plus pink,4,0.0,0.0,400.0,0.0,2,32.0,0.0
10,36.0,480.0,0.0,32490,6.0,0.0,компьютер robotcomp аллигатор v2 pink,8,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,38190,6.0,0.0,компьютер robotcomp аллигатор v2 plus pink,8,0.0,0.0,400.0,0.0,2,32.0,0.0
10,36.0,480.0,0.0,37790,6.0,0.0,компьютер robotcomp аллигатор v3 pink,8,0.0,0.0,400.0,0.0,2,16.0,0.0
10,36.0,480.0,0.0,46990,6.0,0.0,компьютер robotcomp аллигатор v3 plus pink,8,0.0,0.0,400.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,32690,6.0,0.0,компьютер robotcomp аллигатор 2.0 pink,4,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,38390,6.0,0.0,компьютер robotcomp аллигатор 2.0 plus pink,4,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,36590,6.0,0.0,компьютер robotcomp аллигатор 2.0 v2 pink,8,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,42190,6.0,0.0,компьютер robotcomp аллигатор 2.0 v2 plus pink,8,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,480.0,0.0,41890,6.0,0.0,компьютер robotcomp аллигатор 2.0 v3 pink,8,0.0,0.0,500.0,0.0,2,16.0,0.0
11,36.0,480.0,0.0,47490,6.0,0.0,компьютер robotcomp аллигатор 2.0 v3 plus pink,8,0.0,0.0,500.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,44390,6.0,0.0,компьютер robotcomp аллигатор 3.0,4,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,55690,6.0,0.0,компьютер robotcomp аллигатор 3.0 plus,4,0.0,0.0,600.0,0.0,2,64.0,0.0
11,36.0,0.0,0.0,48190,6.0,0.0,компьютер robotcomp аллигатор 3.0 v2,8,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,59390,6.0,0.0,компьютер robotcomp аллигатор 3.0 v2 plus,8,0.0,0.0,600.0,0.0,2,64.0,0.0
11,36.0,0.0,0.0,53490,6.0,0.0,компьютер robotcomp аллигатор 3.0 v3,8,0.0,0.0,600.0,0.0,2,32.0,0.0
11,36.0,0.0,0.0,64690,6.0,0.0,компьютер robotcomp аллигатор 3.0 v3 plus,8,0.0,0.0,600.0,0.0,2,64.0,0.0
19,12.0,256.0,0.0,65990,8.0,0.0,компьютер lenovo 90rx0021rs,8,0.0,0.0,260.0,1.0,57,8.0,1.0
19,12.0,512.0,0.0,61890,8.0,0.0,компьютер lenovo 90rx0022rs,8,0.0,0.0,260.0,1.0,57,8.0,1.0
36,36.0,480.0,0.0,41290,4.0,0.0,игровой компьютер robotcomp старт 1650,4,0.0,0.0,500.0,0.0,16,8.0,0.0
50,36.0,256.0,0.0,114990,6.0,0.0,игровой компьютер acer altos brainsphere p10 f7 (us.rrkta.01l),9,0.0,0.0,750.0,0.0,26,8.0,0.0
50,36.0,256.0,0.0,129990,6.0,0.0,игровой компьютер acer altos brainsphere p10 f7 (us.rrkta.01m),9,0.0,0.0,750.0,0.0,31,8.0,0.0
25,0.0,0.0,0.0,129990,0.0,0.0,игровой компьютер acer altos brainsphere p10 f7 (us.rrkta.01m),0,0.0,0.0,0.0,0.0,55,0.0,0.0
86,12.0,512.0,0.0,126790,16.0,0.0,игровой компьютер machenike stars-v47r36d4w,9,0.0,0.0,600.0,0.0,25,16.0,0.0
86,12.0,1512.0,0.0,167190,16.0,0.0,игровой компьютер machenike machcreator-x37r36t5w,4,0.0,0.0,650.0,0.0,26,16.0,0.0
63,12.0,512.0,0.0,129690,14.0,0.0,игровой компьютер machenike stars-v45kr36t4wt,9,0.0,0.0,600.0,0.0,25,16.0,0.0
